Año,Mes,Día,Hora,Día de la semana,Temperatura (°C),Punto de rocío (°C),Humedad (%),Dirección del viento,Velocidad del viento (m/s),Ráfaga de viento (m/s),Presión (hPa),Precipitación (mm),Condición meteorológica
2014,1,1,0,2,11.666666666666666,-17.77777777777778,45.0,CALMA,0.0,0.0,977.312154,0.0,Despejado
2014,1,1,1,2,10.555555555555555,0.5555555555555556,50.0,E,2.2352,0.0,977.312154,0.0,Despejado
2014,1,1,2,2,10.0,-17.77777777777778,50.0,ESE,1.34112,0.0,977.312154,0.0,Despejado
2014,1,1,3,2,9.444444444444445,-17.77777777777778,52.0,ESE,2.68224,0.0,977.312154,0.0,Despejado
2014,1,1,4,2,9.444444444444445,-17.77777777777778,52.0,CALMA,0.0,0.0,977.650793,0.0,Despejado
2014,1,1,5,2,8.333333333333334,0.5555555555555556,59.0,E,2.2352,0.0,977.650793,0.0,Despejado
2014,1,1,6,2,7.777777777777778,-17.77777777777778,58.0,E,2.68224,0.0,977.989432,0.0,Despejado
2014,1,1,7,2,7.222222222222222,-17.77777777777778,60.0,ESE,1.34112,0.0,978.328071,0.0,Despejado
2014,1,1,8,2,7.222222222222222,-17.77777777777778,60.0,ENE,2.68224,0.0,979.005349,0.0,Despejado
2014,1,1,9,2,8.88888888888889,-17.77777777777778,54.0,E,1.34112,0.0,979.682627,0.0,Despejado
2014,1,1,10,2,12.222222222222221,-17.77777777777778,43.0,ESE,2.2352,0.0,980.0212660000001,0.0,Despejado
2014,1,1,11,2,15.0,-0.5555555555555556,35.0,ESE,2.2352,0.0,979.682627,0.0,Parcialmente_nublado
2014,1,1,12,2,16.666666666666668,-1.6666666666666667,29.0,VAR,1.34112,0.0,978.66671,0.0,Parcialmente_nublado
2014,1,1,13,2,17.77777777777778,-1.6666666666666667,27.0,CALMA,0.0,0.0,977.650793,0.0,Despejado
2014,1,1,14,2,20.0,-2.2222222222222223,22.0,ESE,1.34112,0.0,976.973515,0.0,Despejado
2014,1,1,15,2,19.444444444444443,-2.7777777777777777,22.0,CALMA,0.0,0.0,976.6348760000001,0.0,Despejado
2014,1,1,16,2,20.555555555555557,-2.7777777777777777,21.0,SO,1.34112,0.0,976.296237,0.0,Despejado
2014,1,1,17,2,20.0,-1.1111111111111112,24.0,O,2.2352,0.0,976.6348760000001,0.0,Despejado
2014,1,1,18,2,18.333333333333332,-0.5555555555555556,28.0,O,2.2352,0.0,976.973515,0.0,Despejado
2014,1,1,19,2,18.333333333333332,-1.1111111111111112,27.0,NO,2.2352,0.0,977.650793,0.0,Despejado
2014,1,1,20,2,13.88888888888889,1.1111111111111112,42.0,SSO,1.34112,0.0,978.328071,0.0,Despejado
2014,1,1,21,2,14.444444444444445,1.1111111111111112,41.0,CALMA,0.0,0.0,978.328071,0.0,Despejado
2014,1,1,22,2,12.222222222222221,1.6666666666666667,49.0,SSO,1.34112,0.0,978.328071,0.0,Despejado
2014,1,1,23,2,12.222222222222221,1.6666666666666667,49.0,CALMA,0.0,0.0,978.328071,0.0,Despejado
2014,1,2,0,3,10.555555555555555,1.6666666666666667,54.0,CALMA,0.0,0.0,978.328071,0.0,Despejado
2014,1,2,1,3,10.555555555555555,2.2222222222222223,56.0,CALMA,0.0,0.0,978.328071,0.0,Despejado
2014,1,2,2,3,10.0,2.2222222222222223,59.0,O,1.34112,0.0,978.328071,0.0,Despejado
2014,1,2,3,3,8.88888888888889,1.6666666666666667,61.0,CALMA,0.0,0.0,978.66671,0.0,Despejado
2014,1,2,4,3,10.0,0.5555555555555556,52.0,SE,2.2352,0.0,978.66671,0.0,Despejado
2014,1,2,5,3,7.222222222222222,1.6666666666666667,68.0,E,3.12928,0.0,979.005349,0.0,Despejado
2014,1,2,6,3,7.222222222222222,1.1111111111111112,65.0,E,3.12928,0.0,979.3439880000001,0.0,Despejado
2014,1,2,7,3,6.666666666666667,1.1111111111111112,68.0,E,2.68224,0.0,979.3439880000001,0.0,Despejado
2014,1,2,8,3,6.666666666666667,1.1111111111111112,68.0,ESE,1.34112,0.0,979.682627,0.0,Despejado
2014,1,2,9,3,10.555555555555555,0.5555555555555556,50.0,CALMA,0.0,0.0,980.0212660000001,0.0,Despejado
2014,1,2,10,3,13.333333333333334,-0.5555555555555556,39.0,CALMA,0.0,0.0,980.359905,0.0,Despejado
2014,1,2,11,3,17.22222222222222,-1.6666666666666667,28.0,CALMA,0.0,0.0,979.682627,0.0,Despejado
2014,1,2,12,3,21.11111111111111,-2.7777777777777777,20.0,CALMA,0.0,0.0,978.66671,0.0,Despejado
2014,1,2,13,3,22.22222222222222,-6.111111111111111,15.0,ENE,2.68224,0.0,977.312154,0.0,Parcialmente_nublado
2014,1,2,14,3,23.88888888888889,-6.111111111111111,13.0,E,4.02336,0.0,976.296237,0.0,Parcialmente_nublado
2014,1,2,15,3,23.88888888888889,-5.555555555555555,14.0,E,3.57632,0.0,975.618959,0.0,Parcialmente_nublado
2014,1,2,16,3,23.88888888888889,-5.555555555555555,14.0,E,3.12928,0.0,975.618959,0.0,Parcialmente_nublado
2014,1,2,17,3,23.333333333333332,-4.444444444444445,16.0,ENE,2.2352,0.0,975.2803200000001,0.0,Mayormente_nublado
2014,1,2,18,3,22.22222222222222,-4.444444444444445,17.0,NE,3.57632,0.0,975.2803200000001,0.0,Mayormente_nublado
2014,1,2,19,3,18.88888888888889,-1.6666666666666667,25.0,ENE,2.68224,0.0,975.618959,0.0,Mayormente_nublado
2014,1,2,20,3,18.333333333333332,-2.7777777777777777,24.0,CALMA,0.0,0.0,975.618959,0.0,Mayormente_nublado
2014,1,2,21,3,15.555555555555555,-1.1111111111111112,32.0,CALMA,0.0,0.0,975.618959,0.0,Mayormente_nublado
2014,1,2,22,3,13.88888888888889,-17.77777777777778,39.0,CALMA,0.0,0.0,975.618959,0.0,Despejado
2014,1,2,23,3,14.444444444444445,-1.6666666666666667,33.0,CALMA,0.0,0.0,975.618959,0.0,Mayormente_nublado
2014,1,3,0,4,12.777777777777779,-0.5555555555555556,40.0,CALMA,0.0,0.0,975.618959,0.0,Despejado
2014,1,3,1,4,11.666666666666666,-0.5555555555555556,43.0,CALMA,0.0,0.0,975.2803200000001,0.0,Despejado
2014,1,3,2,4,11.666666666666666,-0.5555555555555556,43.0,CALMA,0.0,0.0,974.941681,0.0,Despejado
2014,1,3,3,4,10.0,0.5555555555555556,52.0,CALMA,0.0,0.0,975.2803200000001,0.0,Despejado
2014,1,3,4,4,10.555555555555555,-1.1111111111111112,44.0,ENE,1.34112,0.0,974.941681,0.0,Despejado
2014,1,3,5,4,11.11111111111111,-1.6666666666666667,41.0,CALMA,0.0,0.0,974.941681,0.0,Despejado
2014,1,3,6,4,9.444444444444445,1.1111111111111112,56.0,CALMA,0.0,0.0,974.6030420000001,0.0,Despejado
2014,1,3,7,4,9.444444444444445,-1.1111111111111112,48.0,CALMA,0.0,0.0,974.941681,0.0,Despejado
2014,1,3,8,4,10.555555555555555,-1.6666666666666667,43.0,CALMA,0.0,0.0,975.2803200000001,0.0,Despejado
2014,1,3,9,4,12.777777777777779,-1.6666666666666667,37.0,CALMA,0.0,0.0,975.618959,0.0,Despejado
2014,1,3,10,4,15.555555555555555,-1.6666666666666667,31.0,ENE,1.34112,0.0,975.618959,0.0,Despejado
2014,1,3,11,4,18.88888888888889,-2.2222222222222223,24.0,E,4.4704,0.0,975.618959,0.0,Despejado
2014,1,3,12,4,21.11111111111111,-1.6666666666666667,22.0,ESE,3.12928,0.0,974.6030420000001,0.0,Despejado
2014,1,3,13,4,22.22222222222222,-2.2222222222222223,20.0,ESE,4.02336,0.0,973.248486,0.0,Despejado
2014,1,3,14,4,22.77777777777778,-3.3333333333333335,17.0,SE,2.2352,0.0,972.232569,0.0,Despejado
2014,1,3,15,4,22.22222222222222,-3.3333333333333335,18.0,CALMA,0.0,0.0,971.5552910000001,0.0,Despejado
2014,1,3,16,4,22.77777777777778,-2.7777777777777777,18.0,CALMA,0.0,0.0,970.8780130000001,0.0,Despejado
2014,1,3,17,4,22.77777777777778,-2.2222222222222223,19.0,OSO,2.68224,0.0,970.8780130000001,0.0,Mayormente_nublado
2014,1,3,18,4,20.0,-1.1111111111111112,24.0,OSO,2.2352,0.0,970.8780130000001,0.0,Parcialmente_nublado
2014,1,3,19,4,17.77777777777778,-17.77777777777778,30.0,OSO,2.2352,0.0,971.2166520000001,0.0,Despejado
2014,1,3,20,4,17.22222222222222,-0.5555555555555556,30.0,CALMA,0.0,0.0,971.5552910000001,0.0,Despejado
2014,1,3,21,4,16.11111111111111,-17.77777777777778,34.0,CALMA,0.0,0.0,971.5552910000001,0.0,Despejado
2014,1,3,22,4,15.555555555555555,-17.77777777777778,35.0,CALMA,0.0,0.0,971.89393,0.0,Despejado
2014,1,3,23,4,13.333333333333334,1.1111111111111112,44.0,E,2.2352,0.0,972.232569,0.0,Despejado
2014,1,4,0,5,12.222222222222221,1.6666666666666667,49.0,E,2.68224,0.0,972.232569,0.0,Despejado
