Año,Mes,Día,Hora,Día de la semana,Electricidad (kW),Fotovoltaica (kW),Refrigeración (kW),Calefacción (kWh),Energía total (kWh),Emisión (kg CO₂)
2014,1,1,0,2,21294.33,2.39,8098.10352,876.2822900000001,30268.372880000003,18880.0
2014,1,1,1,2,21190.46,1.95,7312.22987,873.3515800000001,29377.43704,18320.0
2014,1,1,2,2,21537.07,4.29,7305.864100000001,911.45081,29752.56792,18560.0
2014,1,1,3,2,21688.66,9.65,7573.8243299999995,870.4208700000001,30130.629510000002,18790.0
2014,1,1,4,2,23044.4,10.19,7462.968489999999,946.6193300000001,31455.31043,19620.0
2014,1,1,5,2,23965.44,5.96,7565.770399999999,1016.9563700000001,32545.53455,20300.0
2014,1,1,6,2,24445.95,4.34,7715.03188,1122.4619300000002,33281.14276,20760.0
2014,1,1,7,2,23027.85,11.15,7690.694239999999,1055.0556000000001,31774.757820000003,19820.0
2014,1,1,8,2,20210.57,965.9,8005.88778,1084.3627000000001,29301.238580000005,18270.0
2014,1,1,9,2,19756.46,5078.45,8734.4695,1052.12489,29541.556800000002,18420.0
2014,1,1,10,2,19796.96,7850.57,9453.87185,826.46022,30074.946020000003,18760.0
2014,1,1,11,2,19109.87,9208.85,10480.27313,761.9846000000001,30353.36347,18930.0
2014,1,1,12,2,18849.15,9845.63,11391.9147,732.6775,30971.743280000006,19320.0
2014,1,1,13,2,18754.69,9617.21,12563.70876,718.0239500000001,32035.591010000004,19980.0
2014,1,1,14,2,18568.34,9009.14,13911.00112,674.0633,33152.19152000001,20680.0
2014,1,1,15,2,18506.76,7380.69,14801.892389999999,644.7562000000001,33955.206060000004,21180.0
2014,1,1,16,2,18404.44,3513.19,14648.37534,668.20188,33720.749260000004,21030.0
2014,1,1,17,2,18647.0,263.42,14013.416159999999,697.5089800000001,33357.34122,20800.0
2014,1,1,18,2,19180.86,3.34,12283.43903,720.9546600000001,32185.057220000002,20070.0
2014,1,1,19,2,19131.66,1.7,11500.30864,726.81608,31358.597,19560.0
